Topic,Audience,Interaction Goal
كيف تتغير مدينة واحدة خلال 24 ساعة,أطفال من 7 إلى 10 سنوات,مقارنة معلومات مختلفة
رحلة حبة القهوة من المزرعة إلى الكوب,أطفال من 11 إلى 13 سنة,اكتشاف التغير عبر الزمن
ماذا يحدث لنفاياتنا بعد رميها,مراهقين من 14 إلى 18 سنة,فهم تسلسل عملية أو رحلة
دورة حياة قطعة ملابس,طلاب جامعات,استكشاف العلاقات بين أجزاء نظام
كيف يستخدم الناس هواتفهم خلال اليوم,شباب من 20 إلى 30 سنة,الانتقال من الصورة العامة إلى التفاصيل
كم تستهلك أنشطتنا اليومية من الماء دون أن نشعر,بالغين غير متخصصين,اكتشاف أنماط أو فروق مخفية
رحلة طرد من الطلب حتى الوصول,كبار السن,رؤية أثر تغيير عامل واحد على النتيجة
كيف تنضج ثمرة الرطب,عائلات,العثور على المعلومة الأكثر ارتباطًا به
كيف تتغير الظلال في المكان خلال اليوم,زوار وسياح,استكشاف المعلومات حسب المكان
ماذا يحدث في المطار خلال ساعة واحدة,جمهور عام لديه معرفة محدودة بالموضوع,فهم العلاقة بين السبب والنتيجة
أين يذهب وقتنا في يوم عادي,أشخاص مهتمين بالموضوع لكنهم غير متخصصين,تكوين فهم تدريجي لموضوع معقد
كيف ينتقل خبر أو ترند عبر الإنترنت,أشخاص يعرفون أساسيات الموضوع ويريدون التعمق,اختبار توقعاته ثم مقارنتها بالبيانات
ماذا يحدث خلف الكواليس عندما نضغط إرسال,متخصصين أو ممارسين في المجال,
حياة منتج قبل أن يصل إلى رف المتجر,,
كيف تتغير الأشياء التي نحملها معنا مع العمر,,
كيف يتغير استخدام مكان واحد بين الصباح والمساء,,
كيف تنتقل المياه من المصدر إلى المنزل,,
كيف تتغير عادات الطعام بين الأجيال,,
كيف تتحرك الحشود داخل فعالية كبيرة,,
ماذا يحدث للطعام الذي لا نأكله,,
